city	state	population	rank
Fitchburg	Massachusetts	40383	913
Carol Stream	Illinois	40379	914
Hickory	North Carolina	40361	915
Streamwood	Illinois	40351	916
Norwich	Connecticut	40347	917
Coppell	Texas	40342	918
San Gabriel	California	40275	919
Holyoke	Massachusetts	40249	920
Bentonville	Arkansas	40167	921
Florence	Alabama	40059	922
Peachtree Corners	Georgia	40059	923
Brentwood	Tennessee	40021	924
Bozeman	Montana	39860	925
New Berlin	Wisconsin	39834	926
Goose Creek	South Carolina	39823	927
Huntsville	Texas	39795	928
Prescott Valley	Arizona	39791	929
Maplewood	Minnesota	39765	930
Romeoville	Illinois	39650	931
Duncanville	Texas	39605	932
Atlantic City	New Jersey	39551	933
Clovis	New Mexico	39508	934
The Colony	Texas	39458	935
Culver City	California	39428	936
Marlborough	Massachusetts	39414	937
Hilton Head Island	South Carolina	39412	938
Moorhead	Minnesota	39398	939
Calexico	California	39389	940
Bullhead City	Arizona	39383	941
Germantown	Tennessee	39375	942
La Quinta	California	39331	943
Lancaster	Ohio	39325	944
Wausau	Wisconsin	39309	945
Sherman	Texas	39296	946
Ocoee	Florida	39172	947
Shakopee	Minnesota	39167	948
Woburn	Massachusetts	39083	949
Bremerton	Washington	39056	950
Rock Island	Illinois	38877	951
Muskogee	Oklahoma	38863	952
Cape Girardeau	Missouri	38816	953
Annapolis	Maryland	38722	954
Greenacres	Florida	38696	955
Ormond Beach	Florida	38661	956
Hallandale Beach	Florida	38632	957
Stanton	California	38623	958
Puyallup	Washington	38609	959
Pacifica	California	38606	960
Hanover Park	Illinois	38510	961
Hurst	Texas	38448	962
Lima	Ohio	38355	963
Marana	Arizona	38290	964
Carpentersville	Illinois	38241	965
Oakley	California	38194	966
Huber Heights	Ohio	38142	967
Lancaster	Texas	38071	968
Montclair	California	38027	969
Wheeling	Illinois	38015	970
Brookfield	Wisconsin	37999	971
Park Ridge	Illinois	37839	972
Florence	South Carolina	37792	973
Roy	Utah	37733	974
Winter Garden	Florida	37711	975
Chelsea	Massachusetts	37670	976
Valley Stream	New York	37659	977
Spartanburg	South Carolina	37647	978
Lake Oswego	Oregon	37610	979
Friendswood	Texas	37587	980
Westerville	Ohio	37530	981
Northglenn	Colorado	37499	982
Phenix City	Alabama	37498	983
Grove City	Ohio	37490	984
Texarkana	Texas	37442	985
Addison	Illinois	37385	986
Dover	Delaware	37366	987
Lincoln Park	Michigan	37313	988
Calumet City	Illinois	37240	989
Muskegon	Michigan	37213	990
Aventura	Florida	37199	991
Martinez	California	37165	992
Greenfield	Wisconsin	37159	993
Apache Junction	Arizona	37130	994
Monrovia	California	37101	995
Weslaco	Texas	37093	996
Keizer	Oregon	37064	997
Spanish Fork	Utah	36956	998
Beloit	Wisconsin	36888	999
Panama City	Florida	36877	1000
